node,attach,length_cm,diameter_mm,spur,broken,parent_dist
1559,250,15.5,,,,14
1560,250,0,,,,24
1561,250,0,,,,27.5
1562,250,4,,y,,32
1563,250,18.5,,,,35
1564,250,0,,,,43
1565,250,0,,,,46
1566,250,68,,,,50
1567,250,63,,,,52.5
1568,250,3,,y,,54
1569,250,14,,,,54.5
1570,250,64,,,,54
1571,250,95,,,,55
1572,250,0,,,,5
1573,227,52.5,,,,3
1574,227,0,,,,6
1575,227,6,,y,,10
1576,227,63.5,,,,14
1577,227,0,,,,18
1578,227,1,,y,,23
1579,227,3,,y,,27
1580,227,38,,,,30
1581,227,22.5,,,,31
1582,227,68,,,,34
1583,227,115.5,,,,36.5
1584,227,105,,,,37
1585,227,56,,,,35
1586,227,68,,,,36
1587,227,131,,,,37
1588,224,30,,,,9.5
1589,224,1,,y,,14
1590,224,35,,,,21
1591,224,0,,,,26
1592,224,14,,y,,30.5
1593,224,42,,,,36
1594,224,2,,,y,38
1595,224,32,,,,44.5
1596,224,29,,,,49
1597,224,68,,,,55
1598,224,52,,,,56
1599,224,36.5,,,,59
1600,224,68,,,,62.5
1601,224,121,,,,66
1602,224,128,,,,67
1603,224,128,,,,67
1604,224,84,,,y,67
1605,224,121,,,,67.5
1606,226,8,,y,,7
1607,226,0,,,,17
1608,226,1,,y,,19
1609,226,24,,,,24
1610,226,45,,,,27
1611,226,75.5,,,,30
1612,226,89,,,,33
1613,226,64.5,,,,34
1614,226,1,,y,,36
1615,226,1,,y,,44
1616,226,1,,y,,48
1617,226,2,,y,,53
1618,226,3,,y,,57
1619,226,1,,y,,61
1620,226,1,,y,,65
1621,226,2,,y,,68
1622,226,2.5,,y,,71
1623,226,5,,y,,74
1624,226,25,,,,77.5
1625,226,53,,,,80
1626,226,48,,,,80
1627,226,79,,,,81.5
1628,226,67.5,,,,81
1629,226,50,,,,82.5
1630,226,0,,,,40
1631,264,66,,,,3
1632,264,22,,,,4
1633,264,14,,,,7
1634,264,13,,,,13
1635,264,25,,,,17
1636,264,24,,,,24
1637,264,33.5,,,,28
1638,264,68,,,,32
1639,264,57,,,y,32
1640,264,93,,,,33
1641,264,1.5,,y,,36
1642,264,6.5,,y,,39
1643,264,17,,y,,42
1644,264,27,,,,45
1645,264,61,,,,49
1646,264,20,,,,55.5
1647,264,51,,,,58
1648,264,57,,,,61
1649,264,26,,,,64
1650,264,50.5,,,,0
1651,264,41,,y,,67
1652,264,4,,y,,68
1653,264,62.5,,,,71
1654,264,34,,,y,73
1655,264,48.5,,,,74
1656,264,18,,,,74.5
1657,264,4,,y,,75
1658,264,8,,y,,76
1659,264,44,,,,79
1660,264,61,,,,83
1661,264,68,,,,86
1662,264,11,,y,,88
1663,264,50,,,,91
1664,264,23,,,,95
1665,264,33,,,y,98
1666,264,28.5,,,,99
1667,264,50,,,y,101
1668,264,29,,,y,101
1669,264,26,,,y,102
1670,261,0,,,y,2
1671,261,23,,,,7
1672,261,75,,,,11
1673,261,42.5,,,,27
1674,261,4,,,,39
1675,261,5.5,,y,,40
1676,261,20.5,,,,42.5
1677,261,6.5,,y,,46
1678,261,7,,,,49
1679,261,31,,,,54
1680,261,4.5,,,,57
1681,261,7.5,,y,,60
1682,261,22,,,,62.5
1683,261,13.5,,,,66
1684,261,23.5,,,,68.5
1685,261,0,,,,71
1686,261,20,,,,78
1687,261,27,,,,78.5
1688,261,3.5,,y,,80
1689,261,6,,,,82.5
1690,261,11.5,,,,85.5
1691,261,5.5,,y,,88.5
1692,261,4,,,,93.5
1693,261,3,,y,,101
1694,261,4.5,,,,103.5
1695,261,5,,y,,105
1696,239,9.5,,,,4.5
1697,239,34,,,,9.5
1698,239,18,,,,13.5
1699,239,29,,,,17.5
1700,239,60,,,,20
1701,239,0,,,,26.5
1702,239,58.5,,,,29
1703,239,0,,,,34.5
1704,239,0,,,,37
1705,239,0,,,,41.5
1706,239,0,,,,47
1707,239,1.5,,y,,57.5
1708,239,0,,,y,58
1709,239,11,,,,59
1710,239,2,,y,,61
1711,239,44,,,,63.5
1712,239,36,,,,64
1713,235,53,,,,5.5
1714,235,0,,,,9
1715,235,0,,,,16.5
1716,235,13.5,,,,17.5
1717,235,0,,,y,19.5
1718,235,28.5,,,,24
1719,235,38,,,,27.5
1720,235,38.5,,,,31.5
1721,235,2,,,,46.5
1722,235,2.5,,y,,47
1723,235,0,,,y,47
1724,235,28.5,,,,59.5
1725,235,25.5,,,,59.5
1726,235,29,,,,62
1727,235,19.5,,,,65.5
1728,235,2.5,,,,68
1729,235,23.5,,,,71.5
1730,235,0,,,y,76
1731,235,6,,,,87.5
1732,234,15.5,,,,3.5
1733,234,40.5,,,,7.5
1734,234,12.5,,,,10.5
1735,234,77.5,,,,13.5
1736,234,15,,y,,17.5
1737,234,32,,,,20.5
1738,234,2.5,,,,23
1739,234,11,,,,25.5
1740,234,33.5,,,,28
1741,234,3.5,,,,30
1742,234,20,,,,30.5
1743,234,60,,,,30.5
1744,234,2,,y,,32
1745,234,9.5,,y,,36.5
1746,237,0,,,y,4.5
1747,237,5,,,,7.5
1748,237,0,,,,12.5
1749,237,33.5,,,,26.5
1750,237,0,,,,27.5
1751,236,0,,,,0.5
1752,236,8,,,,3.5
1753,236,0,,,,8
1754,236,0,,,y,11
1755,236,92,,,,15.5
1756,236,8,,,,18.5
1757,236,2,,y,,21
1758,236,43,,,,24
1759,236,2,,,,28.5
1760,236,3,,y,,31
1761,236,0,,,y,33.5
1762,236,0,,,,36
1763,236,32.5,,,,36
1764,236,0,,,y,41
1765,236,2,,y,,44.5
1766,236,5.5,,y,,48
1767,236,18.5,,,,50.5
1768,236,13.5,,,,57
1769,236,18.5,,,,58
1770,236,37,,,,58.5
1771,236,52,,,,59
1772,233,39,,,,4
1773,233,29.5,,,,7
1774,233,22,,,,11
1775,233,68.5,,,,13.5
1776,233,65.5,,,,16.5
1777,233,78,,,,29
1778,233,75.5,,,,29.5
1779,36,7.5,,y,,0
1780,36,0,,,,2
1781,36,0,,,,5.5
1782,36,1.5,,y,,25.5
1783,36,32.5,,,,26
1784,36,4.5,,y,,26
1785,36,0,,y,y,27
1786,36,10,,y,,30
1787,36,5.5,,y,,32.5
1788,36,12,,y,,37
1789,36,0,,,y,40
1790,36,13,,y,,44
1791,36,38,,,,46.5
1792,36,28.5,,,,46.5
1793,59,10,,,,1
1794,59,1,,y,,5
1795,59,13.5,,,y,10
1796,59,24,,,,15
1797,59,21,,,y,15.5
1798,41,0,,,,2
1799,41,1,,y,,7
1800,41,26,,,,13
1801,41,0,,y,,17.5
1802,41,16.5,,,,27
1803,41,21.5,,,y,32
1804,41,38,,,,33.5
1805,41,9,,y,,43
1806,41,34,,,,97
1807,41,20.5,,,y,97
1808,69,7,,y,,0.5
1809,69,3.5,,y,,2.5
1810,69,6.5,,y,,7
1811,69,8,,y,,10.5
1812,69,7,,y,,14.5
1813,69,21.5,,,,19.5
1814,69,3.5,,y,,22.5
1815,69,7.5,,,,25.5
1816,69,4,,y,,29
1817,69,1,,y,,29.5
1818,69,25,,,,31
1819,69,25,,,,31
1820,45,11,,,,4.5
1821,45,18.5,,,,27
1822,45,26,,,,27
1823,48,3.5,,y,,0.5
1824,48,3.5,,y,,2
1825,48,1.5,,,y,6
1826,48,18.5,,,,10
1827,48,33,,,,14.5
1828,48,29.5,,,,14.5
1829,34,5,,y,,4.5
1830,34,0,,y,y,6
1831,34,2,,,y,9
1832,34,21,,,,14
1833,34,38.5,,,,14
1834,28,0,,,,5
1835,28,31,,,,23.5
1836,28,24,,,,25
1837,28,32.5,,,,25
1838,28,50,,,,34
1839,28,2,,,y,34
1840,38,4,,y,,3
1841,38,19.5,,,,4
1842,38,0,,,,9
1843,38,40,,,,12
1844,38,20,,,,16.5
1845,38,0,,,y,21
1846,38,20,,,,22
1847,38,2,,y,,22
1848,38,25,,,,37
1849,38,17,,,,37
1850,72,30,,,,5.5
1851,72,23,,,,5.5
1852,61,3,,y,,0.5
1853,61,5,,y,,3.5
1854,61,20,,y,,8
1855,61,55,,,,13
1856,62,16,,,,2.5
1857,62,28,,,,7
1858,62,30,,,,7
1859,29,1,,y,,2
1860,29,34,,,,6.5
1861,29,7.5,,y,,12
1862,29,17.5,,,,17
1863,29,32,,,,17
1864,52,22.5,,,,2
1865,52,18.5,,,,6
1866,52,8.5,,,y,9
1867,52,60,,,,9
1868,54,30,,,,6
1869,54,1.5,,y,,24
1870,54,7,,y,,27
1871,54,3,,y,,45
1872,54,33,,,,45
1873,54,1.5,,y,,2
1874,50,2,,y,,0.5
1875,50,17,,y,,3.5
1876,50,3,,y,,7.5
1877,50,2,,,y,12
1878,50,15.5,,y,,24
1879,50,29,,,,24
1880,31,17,,,,0.5
1881,31,0,,,,1
1882,31,48,,,,7
1883,31,3,,y,,0
1884,31,35,,,,16.5
1885,31,18.5,,,,21
1886,31,28,,,,21
1887,31,1.5,,y,,2
1888,88,1,,,y,2
1889,88,4.5,,y,,4
1890,88,29.5,,,,10.5
1891,88,42,,,,10.5
1892,23,3,,,,20.5
1893,23,13,,,,21.5
1894,23,1.5,,y,,28
1895,23,10,,,,32
1896,23,11,,,y,34
1897,23,2,,y,,38
1898,23,9,,,y,46
1899,23,3,,,y,49
1900,23,22.5,,,,67
1901,23,19,,,y,67
1902,35,21.5,,,y,4
1903,35,2,,y,,7
1904,35,22,,,y,9
1905,35,39.5,,,,12
1906,35,0,,,,14
1907,35,11,,,,19
1908,35,1,,,y,20.5
1909,20,0,,,,12
1910,20,14,,,,16
1911,20,0,,,,18
1912,20,4,,,y,21
1913,20,17,,,,24
1914,20,32,,,y,28
1915,24,4,,,y,0.5
1916,24,9,,,y,1
1917,24,3.5,,y,,2
1918,24,4,,y,,3
1919,24,3,,,y,7
1920,24,19.5,,,y,12
1921,24,23,,,y,12
1922,64,10,,,,0.5
1923,64,41,,,,4
1924,64,25,,,,34
1925,64,13.5,,,y,35.5
1926,64,13,,,,37
1927,64,17,,,,40
1928,64,19,,,,43.5
1929,64,16.5,,,,43.5
1930,67,3,,y,,0.5
1931,67,3,,y,,1
1932,67,32.5,,,,3.5
1933,67,14.5,,,,7
1934,67,3,,y,,16.5
1935,67,3,,y,,18
1936,67,17.5,,,,18
1937,32,2.5,,y,,3
1938,32,3.5,,y,,4.5
1939,32,4.5,,y,,15
1940,32,3,,y,,13
1941,32,13.5,,,,15
1942,32,4,,y,,29
1943,32,14,,,,29
1944,40,43,,,,10
1945,40,0,,,,14
1946,40,9,,,y,18
1947,40,4,,,y,29.5
1948,40,2,,,y,34
1949,40,1.5,,,y,34
1950,40,0,,,,35
1951,40,12,,,y,41
1952,40,0,,,,33
1953,64,4.5,,y,,44
1954,64,2,,,y,48
1955,64,3,,y,,51
1956,64,9,,,,55
1957,64,6,,,,65.5
1958,64,11,,,,66
1959,15,15,,,y,3
1960,15,10.5,,,,11
1961,15,43,,,,14
1962,15,0,,,,21.5
1963,102,28,,,,9
1964,102,0,,,,11
1965,104,0,,,,1
1966,104,27,,,,2
1967,104,1,,y,,3.5
1968,104,26,,,,7
1969,104,12.5,,,y,11
1970,127,0,,,,1
1971,127,29,,,,1.5
1972,127,0,,,,3
1973,127,0,,,,4
1974,129,17.5,,,,3
1975,139,0,,,,2
1976,139,46,,,,6
1977,139,36.5,,,,14
1978,139,5,,,y,16
1979,139,56,,,,20
1980,106,23,,,y,4
1981,106,0,,,,18
1982,106,0,,,,21
1983,106,51,,,,21
1984,106,26,,,,21.5
1985,106,9.5,,y,,21.5
1986,106,18,,,,21.5
1987,106,14,,,,25
1988,43,3.5,,,y,1
1989,43,11,,,,7.5
1990,43,0,,,,12
1991,43,0,,,,17
1992,43,0,,,,26
1993,46,3.5,,y,,2.5
1994,46,1.5,,y,,5
1995,47,38,,,,4
1996,47,21,,,,6.5
1997,47,5,,y,,6.5
1998,47,0,,,,8
1999,47,0,,,,10
2000,47,8,,,y,13.5
2001,49,29,,,,3.5
2002,51,23,,,,3
2003,53,0,,,,3
2004,55,0,,,,6
2005,94,71,,,,6
2006,94,25,,,,42
2007,94,18.5,,,,42
2008,94,18.5,,,,42
2009,94,44,,,,42
2010,76,39,,,,1
2011,76,12,,,,22
2012,76,63,,,,26
2013,76,22,,,,29.5
2014,76,7.5,,y,,29.5
2015,265,4,,y,,0.5
2016,265,24,,,,6
2017,265,16.5,,y,,9
2018,265,25,,y,,13
2019,265,12,,y,,16
2020,97,3.5,,y,,4.5
2021,97,57,,,,8
2022,97,46,,,,12.5
2023,100,63,,,,1.5
2024,100,81,,,,11
2025,100,16.5,,y,,12
2026,100,2.5,,y,,13.5
2027,100,17.5,,,,16
2028,100,62,,,,18.5
2029,100,54,,,,22
2030,100,60,,,,28
2031,100,2.5,,y,,39
2032,71,29,,,,3.5
2033,71,0,,,,20
2034,71,16,,,,28.5
2035,71,40,,,,29
2036,71,31,,,,30
2037,71,2,,y,,33
2038,71,23.5,,,,37
2039,71,30.5,,,,40
2040,71,22,,,,44
2041,71,0,,,,46
2042,71,24,,,,49.5
2043,71,23.5,,,,53
2044,78,3,,,,2
2045,78,21,,,,3
2046,78,6.5,,,,5
2047,78,47,,,,9.5
2048,78,19,,,,11
2049,78,29.5,,,,11.5
2050,78,2,,y,,13
2051,78,29,,,,16
2052,78,1,,y,,37.5
2053,78,22,,y,,40.5
2054,78,10,,y,,44.5
2055,78,28,,,,44.5
2056,19,0,,,,12
2057,19,0,,,,18
2058,19,0,,,,19
2059,19,0,,,,29
2060,19,0,,,,29
2061,19,0,,,,32
2062,19,0,,,,36
2063,19,0,,,,37
2064,19,0,,,,44
2065,19,0,,,,45
2066,19,0,,,,48
2067,19,0,,,,51
2068,19,0,,,,24
2069,19,0,,,,53
2070,25,0,,,,2
2071,25,0,,,,4
2072,25,10,,,,7
2073,25,0,,,,11.5
2074,27,32,,,y,6.5
2075,27,5,,,,8.5
2076,27,15.5,,,y,12.5
2077,30,14,,,y,4.5
2078,30,18.5,,,y,6
2079,30,0,,,,10
2080,30,0,,,,20
2081,30,0,,,,21.5
2082,14,1,,y,,2
2083,14,27,,,,8
2084,14,0,,,,11
2085,14,30,,,,16
2086,14,20,,,y,17
2087,14,19.5,,,,21
2088,14,2,,y,,22
2089,14,12,,,y,27
2090,14,1,,y,,35
2091,14,11.5,,,y,36
2092,14,11,,,,39
2093,14,33,,,,41.5
2094,14,0,,,,44
2095,14,0,,,,47
2096,14,0,,,,30
2097,14,0,,,,33
2098,137,2,,,y,6
2099,137,2,,,y,10.5
2100,137,8.5,,,y,15.5
2101,137,2,,,y,20
2102,137,38,,,,28.5
2103,137,18.5,,,,32
2104,137,2.5,,,y,42.5
2105,137,7.5,,,y,46
2106,137,2,,,y,47
2107,137,25,,,y,47.5
2108,137,2,,y,,50
2109,137,2.5,,y,,53
2110,137,33.5,,y,,73
2111,137,27,,y,,75
2112,137,24.5,,y,,75
2113,137,42.5,,,,75
2114,98,13,,y,,0.5
2115,98,14,,y,,4
2116,98,27,,y,,7
2117,98,2,,y,,23.5
2118,98,7,,y,,24.5
2119,98,4,,y,,24.5
2120,98,17,,y,,26
2121,98,50,,,,29
2122,98,6,,y,,32
2123,98,24,,y,,36
2124,98,14,,y,,39.5
2125,98,9.5,,y,,43.5
2126,98,13.5,,,y,45.5
2127,98,21,,y,,51
2128,98,4.5,,y,,54.5
2129,98,37,,y,,56
2130,98,3,,y,,56.5
2131,98,11,,y,,57.5
2132,98,14.5,,y,,62
2133,98,0,,,,65
2134,98,16,,y,,71
2135,98,42,,,,71
2136,101,3,,y,,0.5
2137,101,18.5,,y,,2.5
2138,101,23.5,,y,,7
2139,101,21.5,,y,,10
2140,101,26.5,,y,,26
2141,101,44,,,,26
2142,101,2,,y,,26.5
2143,101,0,,,,27
2144,101,12,,y,,33
2145,101,18,,y,,36
2146,101,5,,y,,39
2147,101,27,,,,42
2148,101,10,,y,,50
2149,101,16.5,,y,,54
2150,101,3,,y,,55
2151,101,29,,y,,55
2152,101,0,,,,31
2153,79,22,,,,23.5
2154,79,23.5,,,,25
2155,79,37,,,,29
2156,79,36,,,,31
2157,79,28,,,,35
2158,79,63,,,,38
2159,79,0,,,,54
2160,79,54,,,,72
2161,84,23,,,y,20
2162,84,36,,y,,20.5
2163,84,40,,,,25
2164,84,9,,,,28
2165,84,33,,,,32
2166,84,28,,,,34
2167,84,25,,,,50
2168,84,16.5,,,,50
2169,99,3.5,,y,,20
2170,99,12,,y,,20
2171,99,6,,y,,20
2172,99,7,,y,,21.5
2173,99,13.5,,y,,25
2174,99,41,,,y,28.5
2175,99,26,,,y,28.5
2176,56,36,,,,5
2177,56,32,,,,10
2178,56,0,,,,16
2179,56,19,,,y,20
2180,56,42,,,,29
2181,56,0,,,,35
2182,56,10,,y,,35
2183,56,25,,,,41
2184,56,34.5,,,,44
2185,56,12.5,,,y,48
2186,56,2,,y,,54
2187,56,3,,y,,57
2188,56,17,,,,64.5
2189,56,0,,,,71
2190,56,0,,,,74
2191,56,1.5,,y,,79
2192,56,21,,,y,82
2193,56,21,,,,84
2194,56,62,,,,84
2195,21,17.5,,,,1
2196,21,25.5,,,,3.5
2197,22,8,,,,2
2198,22,0,,,,3
2199,33,0,,,,4.5
2200,33,0,,,,9
2201,33,0,,,,8
2202,33,0,,,,13
2203,33,17.5,,,,20
2204,33,8,,,,24
2205,26,19,,,,12
2206,26,9,,,,16.5
2207,26,22,,,,16.5
2208,133,25,,y,,4
2209,133,53,,,,8
2210,133,64,,,,12
2211,133,27,,,y,23
2212,133,63.5,,,,24.5
2213,133,60,,,,24.5
2214,133,36.5,,y,,27.5
2215,133,30,,,y,30.5
2216,133,12,,,y,34
2217,133,42,,,,38
2218,133,45,,,y,41.5
2219,133,18.5,,,,55
2220,133,23,,,y,56
2221,133,35,,,,58.5
2222,133,30,,,,61
2223,133,39,,,,61
2224,138,33,,,,11
2225,138,5,,,y,15
2226,138,72,,,,18
2227,138,17,,y,,24
2228,138,64,,,,26
2229,138,3,,,,28
2230,138,44,,,,32
2231,138,34,,,,32
2232,138,18,,,y,35
2233,138,25,,,y,35
2234,138,45,,,,36
2235,138,4.5,,,y,38
2236,138,51,,,,41
2237,138,0,,,,2.5
2238,138,17,,,,20
2239,87,20.5,,y,,45
2240,87,38.5,,,,49
2241,87,53,,,,54
2242,87,35,,,,55
2243,87,47,,,,59
2244,87,1,,y,,66
2245,87,17,,y,,69.5
2246,87,1,,y,,71
2247,87,11,,y,,75
2248,87,3.5,,y,,78
2249,87,1,,y,,80.5
2250,87,11.5,,y,,83
2251,87,1,,y,,84
2252,84,2,,y,,8
2253,84,20,,,,12
2254,84,11,,y,,16
2255,84,23,,,,20
2256,84,20,,,,24
2257,84,3,,y,,28
2258,84,30,,,,32
2259,84,11.5,,y,,35.5
2260,84,49.5,,,,39
2261,84,25,,y,,45
2262,84,75,,,,48
2263,84,1.5,,y,,49
2264,84,1.5,,y,,49
2265,84,7,,y,,50
2266,84,3,,y,,53
2267,84,7.5,,y,,79
2268,84,42,,,,84
2269,84,43.5,,,,84
2270,84,50,,,,84
2271,84,1,,y,,39
2272,84,33,,,,56
2273,122,0,,,,0.5
2274,122,0,,,,2.5
2275,122,50.5,,,,5
2276,122,46,,,,5
2277,125,1,,y,,11
2278,125,2,,y,,15
2279,125,2.5,,,y,20
2280,125,4.5,,y,,24
2281,125,3,,y,,29
2282,125,28.5,,,,33
2283,125,0,,,,36
2284,125,15,,,,39
2285,125,46,,,,42
2286,125,6.5,,,,44
2287,125,18.5,,y,,44
2288,125,33,,,,44
2289,125,1,,y,,45
2290,125,6,,,,48
2291,125,1.5,,y,,51.5
2292,125,5,,y,,54.5
2293,125,7,,,,58
2294,125,2,,,,61
2295,125,6.5,,y,,64
2296,125,6,,y,,67
2297,125,3.5,,,y,70
2298,125,4.5,,,,72
2299,125,30,,,,74
2300,125,39,,,,77
2301,125,48,,,,77
2302,126,3.5,,y,,13
2303,126,4,,,,18
2304,126,15,,y,,22
2305,126,8,,,,30
2306,126,13.5,,,,37
2307,126,16.5,,,,37
2308,126,3.5,,y,,38
2309,126,22,,,,39
2310,126,10,,y,,43
2311,126,28,,y,,65
2312,126,2,,y,,88
2313,126,9,,y,,88
2314,126,0,,,,5
2315,126,1,,y,,9
2316,119,106,,,,8
2317,119,56,,,,10.5
2318,119,46,,,,11
2319,128,9,,y,,11
2320,128,2.5,,y,,36
2321,128,1,,y,,36
2322,128,0,,,,37
2323,128,59,,,,31
2324,128,1.5,,y,,35
2325,128,38.5,,,,48
2326,128,0,,,,49
2327,128,19,,,,49
2328,128,19,,y,,52
2329,128,44,,,,55
2330,128,5,,,,58
2331,128,3,,y,,61
2332,128,65,,,,64
2333,128,0,,,,4
2334,128,0,,,,6
2335,128,0,,,,67.5
2336,128,26,,,,77
2337,128,1.5,,y,,77
2338,128,36,,,,80.5
2339,128,23,,,y,84
2340,128,33,,,,86
2341,128,38,,,,106
2342,128,47,,,,107
2343,128,43,,,,107
2344,128,45,,,,107
2345,115,30,,,,20.5
2346,115,28.5,,,,22
2347,115,3,,y,,22
2348,115,3,,y,,22
2349,115,2,,,,27
2350,115,3,,,,31
2351,115,41,,,,35.5
2352,115,3.5,,,,38.5
2353,115,20,,,,49
2354,115,8.5,,,,49
2355,115,27,,,,52
2356,115,18,,y,,55.5
2357,115,37,,,,61.5
2358,115,9,,y,,75
2359,115,46,,,,75
2360,115,34,,,,78
2361,115,21,,y,,81
2362,115,50,,,,81
2363,121,11,,,,0.5
2364,121,7,,y,,2
2365,121,125,,,,6.5
2366,108,12,,,y,3
2367,108,49,,,,8
2368,108,38,,,,10
2369,108,15,,,,13
2370,108,31,,,,16
2371,108,36,,,,23.5
2372,108,35,,,,23.5
2373,108,34,,,,33
2374,108,47.5,,,,36.5
2375,108,34.5,,,,39.5
2376,108,38,,,,45
2377,108,30,,,,54.5
2378,108,2.5,,y,,54.5
2379,108,48.5,,,,54.5
2380,107,26,,,,2
2381,107,19,,y,,15
2382,107,15,,y,,17
2383,107,11,,y,,34
2384,107,23,,,,34
2385,107,1,,y,,2
2386,117,1.5,,y,,1.5
2387,117,15.5,,,,18
2388,117,33,,,,19
2389,117,20,,,,20
2390,117,21,,y,,23
2391,117,16,,y,,27.5
2392,117,22,,,,39
2393,117,25,,,,39
2394,105,18.5,,y,,2
2395,105,6.5,,,y,6
2396,105,26,,,y,10.5
2397,105,10,,y,,27
2398,105,21,,,,31.5
2399,105,40,,,,31.5
2400,103,35,,,,2
2401,103,0,,,,24.5
2402,103,25,,,,25
2403,103,0,,,,27
2404,103,16.5,,y,,30
2405,103,10,,,,44
2406,103,25,,,,44
2407,93,14,,,,1
2408,93,2,,,,8
2409,93,38,,,,11
2410,93,0,,,,14
2411,93,0,,,,37
2412,93,0,,,,39
2413,93,8,,y,,41
2414,93,53,,,,49
2415,93,45,,,,52
2416,93,63,,,,55
2417,95,0,,,,16
2418,95,0,,,,17
2419,184,37,,,,6
2420,184,0,,,,9
2421,184,29,,,,13
2422,184,22.5,,y,,16
2423,184,9.5,,,,19
2424,184,53,,,,22
2425,184,9.5,,y,,25.5
2426,184,53,,,,28
2427,184,21,,,,31
2428,184,6,,y,,33.5
2429,184,33.5,,,,36
2430,184,4,,y,,37
2431,184,22.5,,y,,37
2432,184,7.5,,y,,37.5
2433,184,1,,y,,38.5
2434,184,21,,y,,40
2435,184,4.5,,,,42
2436,184,8,,,,46
2437,184,16,,y,,48
2438,184,3,,y,,51
2439,184,26,,y,,54
2440,184,4.5,,y,,56
2441,184,14,,y,,58
2442,184,36,,,,60.5
2443,184,17,,y,,62.5
2444,184,13,,y,,63
2445,184,3,,y,,64
2446,184,22,,y,,67
2447,184,12.5,,y,,70
2448,184,8,,y,,73
2449,184,10,,y,,81.5
2450,184,17,,y,,81.5
2451,184,22,,,,81.5
2452,131,0,,,,11
2453,131,0,,,,16
2454,131,1.5,,y,,20
2455,131,4,,y,,25.5
2456,131,18,,y,,30
2457,131,5.5,,y,,35
2458,131,6,,y,,39
2459,131,3,,y,,43
2460,131,38,,,,50
2461,131,1.5,,y,,53
2462,131,16,,,,53
2463,131,1,,y,,54
2464,131,0,,,,55
2465,131,2,,y,,58
2466,131,1.5,,y,,61
2467,131,2.5,,y,,65
2468,131,41,,,,68
2469,131,30,,,,71
2470,131,25,,,,74.5
2471,131,40,,,,81
2472,131,47,,,,83.5
2473,131,48,,,,86
2474,131,56,,,,88
2475,131,50,,,,88
2476,131,28,,,y,88
2477,114,54,,,,10
2478,114,46,,,,28
2479,114,75,,,,32
2480,118,68,,,,1
2481,118,3.5,,y,,1
2482,118,20,,,y,4.5
2483,118,35,,,,12
2484,120,37,,y,,1
2485,120,38,,,,7
2486,44,10.5,,,,5
2487,44,25,,,,5
2488,116,25,,,,2
2489,116,2,,y,,2
2490,116,73,,,,3.5
2491,116,27.5,,,,8
2492,116,23,,,,22
2493,116,23,,,,22
2494,164,20,,,,4
2495,164,24,,,,8.5
2496,164,38,,,,13
2497,164,26.5,,,,26
2498,164,27.5,,,,28
2499,164,10.5,,,y,53
2500,164,19,,,,53.5
2501,164,4.5,,,y,54
2502,164,15.5,,y,,56
2503,164,20.5,,,,59
2504,164,0,,,y,63
2505,164,5.5,,y,,66
2506,164,18,,,,71
2507,164,26,,,,77
2508,164,9,,,y,77
2509,164,0,,,y,74
2510,122,10,,,,3
2511,122,93,,,,7
2512,122,34,,,,11.5
2513,122,25,,,,11.5
2514,135,11,,,,4
2515,135,84,,,,9
2516,135,19.5,,,y,12.5
2517,135,38,,,,30
2518,135,24,,,,33
2519,135,27.5,,,,33
2520,123,62,,,,3.5
2521,123,35,,,,4
2522,123,45.5,,,,7
2523,123,46.5,,,,10
2524,123,30,,,,28.5
2525,123,12,,,y,28.5
2526,161,5,,y,,1.5
2527,161,14,,y,,8.5
2528,161,34,,,,12
2529,161,17,,y,,15.5
2530,161,23.5,,,,19.5
2531,161,42.5,,,,31
2532,161,19,,,,31
2533,161,27.5,,,y,31
2534,172,0,,,,3
2535,172,0,,,,7.5
2536,172,28,,,,11
2537,172,33,,,,33
2538,172,38.5,,,,34
2539,172,30.5,,,,36
2540,172,19,,,,38.5
2541,172,14,,,y,41
2542,172,85,,,,45
2543,172,23,,y,,47
2544,172,9,,,y,50
2545,172,11.5,,,y,52
2546,172,28.5,,,,60
2547,172,28,,,,60
2548,172,1.5,,y,,60
2549,185,0,,,,4
2550,185,1,,y,,8
2551,185,8,,,,12
2552,185,9.5,,,y,15.5
2553,185,6,,,,20
2554,185,15.5,,y,,32
2555,185,25,,,,32
2556,185,33.5,,,,47
2557,185,16,,y,,48.5
2558,185,13,,y,,51
2559,185,4,,y,,54
2560,185,19.5,,y,,57
2561,185,0,,,,59
2562,185,1.5,,,y,62
2563,185,2.5,,y,,64
2564,185,9,,,,67
2565,185,25,,,,67
2566,173,5.5,,y,,4
2567,173,19,,y,,7.5
2568,173,5,,y,,27
2569,173,4,,y,,27.5
2570,173,5,,,,27.5
2571,173,5,,y,,30
2572,173,32,,,,34
2573,173,8,,,,36.5
2574,173,16,,,,40.5
2575,173,47.5,,,,43
2576,173,29.5,,,,48
2577,173,23.5,,,,57
2578,173,20.5,,,,60
2579,173,15,,,,62
2580,173,3.5,,y,,74
2581,173,13,,y,,84
2582,173,4,,,,80
2583,173,18,,,,78
2584,173,2.5,,,,75.5
2585,171,2.5,,y,,1.5
2586,171,23.5,,,,8
2587,171,1.5,,y,,13.5
2588,171,30,,,,18
2589,171,36,,,,20
2590,171,1,,,y,28.5
2591,171,50,,,y,36
2592,171,3.5,,,,36
2593,171,8,,,y,38.5
2594,171,8,,y,,42
2595,171,17.5,,y,,45
2596,171,33.5,,,,48.5
2597,171,23,,,,51.5
2598,171,30,,,,54.5
2599,171,19.5,,,,65
